trade,day,objective_term
NC-E/I,monday,(manhours_per_day_sq_NC-E/I_monday - 2304)
NC-E/I,tuesday,(manhours_per_day_sq_NC-E/I_tuesday - 2304)
NC-E/I,wednesday,(manhours_per_day_sq_NC-E/I_wednesday - 2304)
NC-E/I,thursday,(manhours_per_day_sq_NC-E/I_thursday - 2304)
NC-E/I,friday,(manhours_per_day_sq_NC-E/I_friday - 2304)
NC-E/I,saturday,(manhours_per_day_sq_NC-E/I_saturday - 2304)
NC-E/I,sunday,(manhours_per_day_sq_NC-E/I_sunday - 2304)
NC-E/I PM,monday,(manhours_per_day_sq_NC-E/I PM_monday - 1600)
NC-E/I PM,tuesday,(manhours_per_day_sq_NC-E/I PM_tuesday - 1600)
NC-E/I PM,wednesday,(manhours_per_day_sq_NC-E/I PM_wednesday - 1600)
NC-E/I PM,thursday,(manhours_per_day_sq_NC-E/I PM_thursday - 1600)
NC-EQUIPMENT,monday,(manhours_per_day_sq_NC-EQUIPMENT_monday - 256)
NC-EQUIPMENT,tuesday,(manhours_per_day_sq_NC-EQUIPMENT_tuesday - 256)
NC-EQUIPMENT,wednesday,(manhours_per_day_sq_NC-EQUIPMENT_wednesday - 256)
NC-EQUIPMENT,thursday,(manhours_per_day_sq_NC-EQUIPMENT_thursday - 256)
NC-EQUIPMENT,friday,(manhours_per_day_sq_NC-EQUIPMENT_friday - 256)
NC-LUBRICATOR,monday,(manhours_per_day_sq_NC-LUBRICATOR_monday - 256)
NC-LUBRICATOR,tuesday,(manhours_per_day_sq_NC-LUBRICATOR_tuesday - 256)
NC-LUBRICATOR,wednesday,(manhours_per_day_sq_NC-LUBRICATOR_wednesday - 256)
NC-LUBRICATOR,thursday,(manhours_per_day_sq_NC-LUBRICATOR_thursday - 256)
NC-LUBRICATOR,friday,(manhours_per_day_sq_NC-LUBRICATOR_friday - 256)
NC-MECHANIC EXE,monday,(manhours_per_day_sq_NC-MECHANIC EXE_monday - 1600)
NC-MECHANIC EXE,tuesday,(manhours_per_day_sq_NC-MECHANIC EXE_tuesday - 1600)
NC-MECHANIC EXE,wednesday,(manhours_per_day_sq_NC-MECHANIC EXE_wednesday - 1600)
NC-MECHANIC EXE,thursday,(manhours_per_day_sq_NC-MECHANIC EXE_thursday - 1600)
NC-MECHANIC EXE,friday,(manhours_per_day_sq_NC-MECHANIC EXE_friday - 1600)
NC-PM DAY,monday,(manhours_per_day_sq_NC-PM DAY_monday - 9216)
NC-PM DAY,tuesday,(manhours_per_day_sq_NC-PM DAY_tuesday - 9216)
NC-PM DAY,wednesday,(manhours_per_day_sq_NC-PM DAY_wednesday - 9216)
NC-PM DAY,thursday,(manhours_per_day_sq_NC-PM DAY_thursday - 9216)
NC-PM DAY,friday,(manhours_per_day_sq_NC-PM DAY_friday - 9216)
NC-PM DAY,saturday,(manhours_per_day_sq_NC-PM DAY_saturday - 9216)
NC-PM DAY,sunday,(manhours_per_day_sq_NC-PM DAY_sunday - 9216)
NC-PM NIGHT,monday,(manhours_per_day_sq_NC-PM NIGHT_monday - 2304)
NC-PM NIGHT,tuesday,(manhours_per_day_sq_NC-PM NIGHT_tuesday - 2304)
NC-PM NIGHT,wednesday,(manhours_per_day_sq_NC-PM NIGHT_wednesday - 2304)
NC-PM NIGHT,thursday,(manhours_per_day_sq_NC-PM NIGHT_thursday - 2304)
NC-PM NIGHT,friday,(manhours_per_day_sq_NC-PM NIGHT_friday - 2304)
NC-PM NIGHT,saturday,(manhours_per_day_sq_NC-PM NIGHT_saturday - 2304)
NC-PM NIGHT,sunday,(manhours_per_day_sq_NC-PM NIGHT_sunday - 2304)
NC-REBUILD,monday,(manhours_per_day_sq_NC-REBUILD_monday - 1600)
NC-REBUILD,tuesday,(manhours_per_day_sq_NC-REBUILD_tuesday - 1600)
NC-REBUILD,wednesday,(manhours_per_day_sq_NC-REBUILD_wednesday - 1600)
NC-REBUILD,thursday,(manhours_per_day_sq_NC-REBUILD_thursday - 1600)
NC-REBUILD,friday,(manhours_per_day_sq_NC-REBUILD_friday - 1600)
